date,timestamp,temperature,temperature_max,temperature_min,humidity,dew,windspeed,wind_direction,wind_rec,windspeed_max,windspeed_max_direction,temperature_feeling,heat_index,thw_index,pressure,rain,rain_intensity,heat_degrees,cold_degrees,temperature_interior,humidity_interior,dew_interior,heat_index_interior,air_density_interior,wind_direction_degrees,tx_wind,iss_reception,arc_interior
2025-11-13,2025-11-13 00:15:00,13.3,13.7,12.8,91,11.8,1.6,NO,0.4,8.0,NO,13.3,13.3,13.3,1018.5,0.0,0.0,0.053,0.0,22.8,58,14.1,22.9,10.63,1.1807,349,1,100.0
2025-11-13,2025-11-13 00:30:00,12.8,12.9,12.7,92,11.6,3.2,ENE,0.8,8.0,E,12.8,12.9,12.9,1018.3,0.0,0.0,0.057,0.0,22.6,58,13.9,22.6,10.65,1.1816,349,1,100.0
2025-11-13,2025-11-13 00:45:00,12.8,12.9,12.7,92,11.5,1.6,NNO,0.4,4.8,ENE,12.8,12.8,12.8,1018.2,0.0,0.0,0.058,0.0,22.4,59,14.0,22.4,10.86,1.1821,352,1,100.0
2025-11-13,2025-11-13 01:00:00,12.6,12.7,12.6,92,11.3,1.6,NO,0.4,8.0,E,12.6,12.6,12.6,1018.2,0.0,0.0,0.06,0.0,22.2,59,13.8,22.1,10.87,1.1829,351,1,100.0
2025-11-13,2025-11-13 01:15:00,12.6,12.7,12.6,91,11.2,1.6,E,0.4,8.0,E,12.6,12.7,12.7,1018.1,0.0,0.0,0.06,0.0,22.1,60,13.9,21.9,11.02,1.1833,351,1,100.0
2025-11-13,2025-11-13 01:30:00,12.7,12.7,12.7,91,11.2,1.6,E,0.4,8.0,E,12.7,12.7,12.7,1017.9,0.0,0.0,0.059,0.0,21.9,60,13.8,21.7,11.02,1.1839,351,1,100.0
2025-11-13,2025-11-13 01:45:00,12.8,12.9,12.7,91,11.4,1.6,ENE,0.4,9.7,E,12.8,12.9,12.9,1017.7,0.0,0.0,0.057,0.0,21.7,60,13.6,21.4,11.03,1.1846,352,1,100.0
2025-11-13,2025-11-13 02:00:00,12.9,13.0,12.9,90,11.3,1.6,E,0.4,6.4,ONO,12.9,13.0,13.0,1017.9,0.0,0.0,0.056,0.0,21.6,61,13.8,21.4,11.21,1.1851,350,1,100.0
2025-11-13,2025-11-13 02:15:00,13.1,13.2,13.0,89,11.3,1.6,E,0.4,8.0,ENE,13.1,13.2,13.2,1017.8,0.0,0.0,0.054,0.0,21.4,61,13.6,21.2,11.23,1.1858,351,1,100.0
2025-11-13,2025-11-13 02:30:00,13.2,13.3,13.2,89,11.4,1.6,E,0.4,9.7,E,13.2,13.3,13.3,1017.7,0.0,0.0,0.053,0.0,21.3,61,13.5,21.0,11.23,1.1863,350,1,100.0
2025-11-13,2025-11-13 02:45:00,13.4,13.4,13.3,88,11.4,4.8,ENE,1.21,11.3,ENE,13.4,13.4,13.4,1017.6,0.0,0.0,0.052,0.0,21.2,61,13.4,20.9,11.24,1.1867,351,1,100.0
2025-11-13,2025-11-13 03:00:00,13.3,13.4,13.3,88,11.4,4.8,ENE,1.21,11.3,ENE,13.3,13.3,13.3,1017.5,0.0,0.0,0.052,0.0,21.1,61,13.3,20.7,11.25,1.1871,352,1,100.0
2025-11-13,2025-11-13 03:15:00,13.2,13.3,13.1,88,11.2,3.2,E,0.8,9.7,E,13.2,13.2,13.2,1017.4,0.0,0.0,0.054,0.0,21.0,62,13.4,20.7,11.35,1.1873,351,1,100.0
2025-11-13,2025-11-13 03:30:00,13.0,13.1,13.0,88,11.1,3.2,NO,0.8,8.0,E,13.0,13.0,13.0,1017.4,0.0,0.0,0.056,0.0,20.9,62,13.3,20.6,11.36,1.1879,350,1,100.0
